;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍
;-------------------------------------------------------------------------------
1/10000   魔晶石
1/1    金币 48000
1/2    万年雪霜 2
1/2    万年雪霜 2
1/2    万年雪霜 2
1/2    万年雪霜 2
1/2    万年雪霜 2
1/2    金创药（特） 2
1/2    金创药（特） 2
1/2    金创药（特） 2
1/2    金创药（特） 2
1/2    金创药（特） 2
1/2    魔法药（特） 2
1/2    魔法药（特） 2
1/2    魔法药（特） 2
1/2    魔法药（特） 2
1/2    魔法药（特） 2

;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 1
;-------------------------------------------------------------------------------
1/10   黑皮手套

1/10   震天项链
1/10   银镜项链

1/10   五彩项链
1/10   遗魂项链
1/10   勇士项链

1/10   天藤头盔

;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 2
;-------------------------------------------------------------------------------
1/20   幸运降妖除魔戒指

1/20   恶魔长袍（男）
1/20   恶魔长袍（女）
1/20   战神盔甲（男）
1/20   战神盔甲（女）
1/20   幽灵战衣（男）
1/20   幽灵战衣（女）

;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 3
;-------------------------------------------------------------------------------
1/10  天极道衣（男）
1/10  天极道衣（女）
1/10  龙鳞战甲（男）
1/10  龙鳞战甲（女）
1/10  袁灵法衣（男）
1/10  袁灵法衣（女）
1/200  麒麟宝铠（男）
1/200  麒麟宝铠（女）
1/200  仙风神袍（男）
1/200  仙风神袍（女）
1/200  阴阳圣衣（男）
1/200  阴阳圣衣（女）

;-------------------------------------------------------------------------------
;; 焊胶鞭 傈侩 酒捞袍甸
;-------------------------------------------------------------------------------
1/30   祝福油
1/30   武器强化油

1/250  血花落照（血）
1/250  血花落照（花）
1/250  血花落照（落）
1/250  血花落照（照）
1/250  黑天暗云（黑）
1/250  黑天暗云（天）
1/250  黑天暗云（暗）
1/250  黑天暗云（云）
1/250  九宫云雾（九）
1/250  九宫云雾（宫）
1/250  九宫云雾（云）
1/250  九宫云雾（雾）
1/250  万里碧海（万）
1/250  万里碧海（里）
1/250  万里碧海（碧）
1/250  万里碧海（海）

1/100  魄冰刺
1/100  十方斩
1/120  云寂术
1/120  斗转星移
1/180  乾坤大挪移
1/180  焰天火雨
1/380  铁布衫
1/380  怒神霹雳
1/600  阴阳法环
1/600  凝血离魂
1/600  破血狂杀
1/400  妙影无踪

1/50  破荒项链
1/50  魔云项链
1/50  定心项链
1/50  师承戒指
1/50  龙马戒指
1/50  青云戒指

1/1000  神勇之物
1/1000  智慧之物
1/1000  正义之物
1/1000  决断之物
1/1000  节制之物


