;;08Accessory_Sabuk-3.txt
%100
;necklace
+19
+20
+21
;ring
+22
+23
;bracelet
+24
+26


[@main]
;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Quest Separate Block
;;------------------------------------------------------------------------------
#IF
checkpkpoint 2
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_RedPlayer
#ELSEACT
goto @main_0_0

;;------------------------------------------------------------------------------
;; Check In Battle -> Npc auto Dialog In Battle
;;------------------------------------------------------------------------------

[@_Startup]
#IF
IsOnCastleWar SaBuk
#ACT
goto @CastleWarOn
Delaygoto [Grobal] 20 @_Startup
#ELSEACT
Delaygoto [Grobal] 60 @_Startup

[@CastleWarOn]
#CALL [\CastleWar\Speak.txt] @CastleWarSpeak

;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Npc Menu Block
;;------------------------------------------------------------------------------

[@main_0_0]
#IF
IsOnCastleWar SaBuk
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Main_0
#ELSESAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Main_1

;----------------------------------------------------------

[@buy]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Buy

[@sell]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Sell

[@repair]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Repair

[~@repair]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Sabuk-3.txt] @NPC_Repair_Complete

[Goods]
;ItemName      Volume     Hour
;; bracelet
铁手镯        100        1
小手镯        100        1
银手镯        100        1
钢手镯        100        1
大手镯        100        1
;;武士手镯      100        1
小手镯        100        1
道士手镯      100        1
黑檀手镯      100        1
;; necklace
金项链        100        1
传统项链      100        1
灯笼项链      100        1
白色虎齿项链  100        1
黑色水晶项链  100        1
魔鬼项链      100        1
;;钻石项链      100        1
蓝翡翠项链    100        1
黄色水晶项链  100        1
真善项链      100        1
;;凤凰明珠      100        1
黑檀项链      100        1
;;白金项链      100        1
琥珀项链      100        1
;;五色项链      100        1
;; ring
指环          100        1
牛角戒指      100        1
蓝色水晶戒指  100        1
古铜戒指      100        1
黑色水晶戒指  100        1
骷髅戒指      100        1
水晶魔戒      100        1
珍珠戒指      100        1
六绝星环      100        1
玄铁指环      100        1
蛇眼戒指      100        1

;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Area Quest Block
;;------------------------------------------------------------------------------

;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Daily Quest Block
;;------------------------------------------------------------------------------
